ts,weather_temp,weather_humidity,weather_rain,weather_pressure,weather_wind_speed,weather_radiation,soil_temperature_0-7cm,soil_temperature_7-18cm,ec,ph,soil_moisture,irrigation_duration_minutes,month,day,hour,day_period,quarter,target_point_24h,target_mean_24h,water_vol_to_24h,water_vol_past_4h,real_moisture_delta
2025-02-28 14:20:00,15.918333333333331,60.0,0.0,1016.2591666666668,11.688333333333334,267.81666666666666,15.663333333333332,11.963333333333336,311.5,6.6,47.0,0,2,28,14,1,1,58.0,48.9925657879702,17.6,0.0,11.0
2025-02-28 14:30:00,15.885,60.0,0.0,1016.2425,12.255,268.15,15.73,12.03,311.0,6.6,46.7,0,2,28,14,1,1,57.0,49.068954676859086,17.6,0.0,10.299999999999997
2025-02-28 16:00:00,15.355,60.3,0.0,1015.8925,12.4125,216.3,15.6625,12.415,320.3333333333333,6.6,44.0,0,2,28,16,1,1,55.0,49.14048245463687,17.6,0.0,11.0
2025-02-28 16:10:00,15.255,60.96666666666666,0.0,1015.8758333333332,11.995833333333334,203.63333333333335,15.579166666666666,12.448333333333334,316.0,6.6,43.72727272727273,0,2,28,16,1,1,54.0,49.21687134352575,17.6,0.0,10.272727272727273
2025-02-28 16:20:00,15.155,61.63333333333334,0.0,1015.8591666666669,11.579166666666666,190.96666666666667,15.495833333333332,12.481666666666666,353.0,6.6,43.45454545454545,0,2,28,16,1,1,53.0,49.28820972736414,17.6,0.0,9.545454545454547
2025-02-28 17:50:00,13.71,73.99166666666666,0.0,1015.8908333333331,5.739999999999999,67.88333333333334,14.473333333333334,12.781666666666668,306.0,6.6,41.0,0,2,28,17,2,1,51.0,49.35449760615202,17.6,0.0,10.0
2025-02-28 18:00:00,13.45,75.6,0.0,1015.945,5.045,55.8,14.3025,12.8,337.0,6.5,47.0,0,2,28,18,2,1,50.4,49.423942050596466,17.6,0.0,3.3999999999999986
2025-02-28 18:10:00,13.116666666666664,76.93333333333334,0.0,1016.0449999999998,4.4783333333333335,46.46666666666666,14.085833333333335,12.8,323.5,6.5,53.0,0,2,28,18,2,1,49.8,49.447553161707575,17.6,0.0,-3.200000000000003
2025-02-28 18:20:00,12.783333333333331,78.26666666666667,0.0,1016.145,3.911666666666666,37.13333333333333,13.869166666666668,12.8,310.0,6.5,52.57142857142857,0,2,28,18,2,1,45.0,49.42533093948535,17.6,0.0,-7.571428571428569
2025-02-28 18:30:00,12.45,79.6,0.0,1016.245,3.345,27.8,13.6525,12.8,297.0,6.5,52.142857142857146,0,2,28,18,2,1,44.76923076923077,49.37275157440598,17.6,0.0,-7.373626373626379
2025-02-28 19:20:00,11.150833333333331,84.63333333333334,0.0,1016.6225,1.6141666666666663,2.3666666666666667,12.61,12.8,265.0,6.5,50.0,0,2,28,19,2,1,44.53846153846154,49.32154583570025,17.6,0.0,-5.46153846153846
2025-02-28 19:30:00,10.9675,85.3,0.0,1016.6725,1.4975,1.7,12.41,12.8,261.6,6.5,49.5,0,2,28,19,2,1,42.0,49.283618485272896,17.6,0.0,-7.5
2025-02-28 19:40:00,10.784166666666668,85.96666666666667,0.0,1016.7225,1.3808333333333334,1.0333333333333334,12.21,12.8,258.2,6.5,49.0,0,2,28,19,2,1,39.0,49.23153515193956,17.6,0.0,-10.0
2025-02-28 20:20:00,9.969166666666666,88.63333333333334,0.0,1016.8816666666664,1.8125,0.0,11.5325,12.718333333333334,238.0,6.4,47.0,0,2,28,20,2,1,65.0,49.16209070749512,17.6,0.0,18.0
2025-02-28 20:30:00,9.7525,89.3,0.0,1016.915,2.0625,0.0,11.3825,12.685,227.0,6.5,46.72727272727273,0,2,28,20,2,1,63.0,49.28709070749512,17.6,0.0,16.272727272727273
2025-02-28 20:40:00,9.535833333333333,89.96666666666667,0.0,1016.9483333333334,2.3125,0.0,11.2325,12.651666666666667,235.0,6.5,46.45454545454545,0,2,28,20,2,1,61.0,49.40009575800016,17.6,0.0,14.545454545454547
2025-02-28 22:10:00,8.175833333333333,93.75833333333334,0.0,1017.0966666666668,4.9525,0.0,10.103333333333332,12.451666666666666,232.0,6.4,44.0,0,2,28,22,3,1,60.0,49.501105859010266,17.6,0.0,16.0
2025-03-01 06:10:00,9.024166666666666,90.75833333333334,0.0,1016.7,9.324166666666668,0.0,8.9,11.251666666666669,191.0,6.2,38.0,0,3,1,6,0,1,59.0,49.61221697012138,17.6,0.0,21.0
2025-03-01 06:20:00,9.040833333333332,90.59166666666668,0.0,1016.7,9.340833333333334,0.0,8.9,11.218333333333334,218.0,6.3,38.4,0,3,1,6,0,1,58.0,49.758050303454716,17.6,0.0,19.6
2025-03-01 06:30:00,9.0575,90.425,0.0,1016.7,9.3575,0.0,8.9,11.185,224.0,6.2,38.8,0,3,1,6,0,1,57.4,49.89416141456583,17.6,0.0,18.6
2025-03-01 08:40:00,11.231666666666667,87.03333333333333,0.0,1017.545,10.541666666666668,58.108333333333334,9.593333333333334,10.951666666666666,253.0,6.2,44.0,0,3,1,8,0,1,56.8,50.0233280812325,17.6,0.0,12.799999999999997
